npm warn exec The following package was not found and will be installed: serve@14.2.6
 INFO  Accepting connections at http://localhost:3000
 HTTP  9/20/2026 5:25:34 AM ::1 HEAD /
 HTTP  9/20/2026 5:25:34 AM ::1 Returned 200 in 250 ms
 HTTP  9/20/2026 5:26:06 AM ::1 GET /
 HTTP  9/20/2026 5:26:06 AM ::1 Returned 200 in 15 ms
 HTTP  9/20/2026 5:26:06 AM ::1 GET /logo.png
 HTTP  9/20/2026 5:26:06 AM ::1 GET /_next/static/css/2efd0f4a56259b03.css
 HTTP  9/20/2026 5:26:06 AM ::1 GET /_next/static/css/8d866b19e5ff1a96.css
 HTTP  9/20/2026 5:26:06 AM ::1 Returned 200 in 3 ms
 HTTP  9/20/2026 5:26:06 AM ::1 Returned 200 in 6 ms
 HTTP  9/20/2026 5:26:06 AM ::1 Returned 200 in 8 ms
 HTTP  9/20/2026 5:26:06 AM ::1 GET /_next/static/chunks/webpack-f12a3d0ec3b37cb0.js
 HTTP  9/20/2026 5:26:06 AM ::1 GET /_next/static/chunks/4bd1b696-215e5051988c3dde.js
 HTTP  9/20/2026 5:26:06 AM ::1 Returned 200 in 3 ms
 HTTP  9/20/2026 5:26:06 AM ::1 Returned 200 in 4 ms
 HTTP  9/20/2026 5:26:06 AM ::1 GET /_next/static/chunks/794-337e750527b970b0.js
 HTTP  9/20/2026 5:26:06 AM ::1 GET /_next/static/chunks/main-app-3f94d1654d7621f8.js
 HTTP  9/20/2026 5:26:06 AM ::1 GET /_next/static/chunks/805-5ff3116500fef5f8.js
 HTTP  9/20/2026 5:26:06 AM ::1 GET /_next/static/chunks/app/layout-fd367369810a780d.js
 HTTP  9/20/2026 5:26:06 AM ::1 GET /_next/static/chunks/f9bd3b46-0b5bc73122bae5a2.js
 HTTP  9/20/2026 5:26:06 AM ::1 GET /_next/static/chunks/144d3bae-12fd3a1d60cd9549.js
 HTTP  9/20/2026 5:26:06 AM ::1 Returned 200 in 7 ms
 HTTP  9/20/2026 5:26:06 AM ::1 Returned 200 in 7 ms
 HTTP  9/20/2026 5:26:06 AM ::1 Returned 200 in 8 ms
 HTTP  9/20/2026 5:26:06 AM ::1 Returned 200 in 8 ms
 HTTP  9/20/2026 5:26:06 AM ::1 Returned 200 in 12 ms
 HTTP  9/20/2026 5:26:06 AM ::1 GET /_next/static/chunks/65e4ab1a-69028f17bc0790d2.js
 HTTP  9/20/2026 5:26:06 AM ::1 GET /_next/static/chunks/437-347fd955591f3ef7.js
 HTTP  9/20/2026 5:26:06 AM ::1 GET /_next/static/chunks/785-8be7d5f1392e9bf8.js
 HTTP  9/20/2026 5:26:06 AM ::1 Returned 200 in 20 ms
 HTTP  9/20/2026 5:26:06 AM ::1 Returned 200 in 33 ms
 HTTP  9/20/2026 5:26:06 AM ::1 Returned 200 in 12 ms
 HTTP  9/20/2026 5:26:06 AM ::1 Returned 200 in 14 ms
 HTTP  9/20/2026 5:26:06 AM ::1 GET /_next/static/chunks/863-62e82bda9f4002f3.js
 HTTP  9/20/2026 5:26:06 AM ::1 GET /_next/static/chunks/app/page-919d3ec385b7626d.js
 HTTP  9/20/2026 5:26:06 AM ::1 Returned 200 in 10 ms
 HTTP  9/20/2026 5:26:06 AM ::1 Returned 200 in 12 ms
 HTTP  9/20/2026 5:26:07 AM ::1 GET /
 HTTP  9/20/2026 5:26:07 AM ::1 Returned 304 in 1 ms
 HTTP  9/20/2026 5:26:07 AM ::1 GET /_next/static/chunks/711.eabd49b975174e2e.js
 HTTP  9/20/2026 5:26:07 AM ::1 Returned 200 in 2 ms
 HTTP  9/20/2026 5:26:07 AM ::1 GET /logo.png
